出生日期	<e1>汪晋贤</e1>，<e2>1996年1月2日</e2>出生于湖北省武汉市，身高175cm，是一名中场球员，现效力于大连一方足球俱乐部
主演	张译第一次让人记住他恐怕就是《<e1>士兵突击</e1>》中那个不抛弃不放弃的史班长了，2006年这部《士兵突击》火了，带火了一大票的演员，<e2>陈思成</e2>王宝强脱颖而出，但是唯独张译被落下了
出生日期	<e1>志水亮介</e1>：男，<e2>1980年</e2>出生，186厘米，80公斤，&#8203
作者	《<e1>帝君临</e1>》是连载于起点中文网的小说作品，作者是<e2>骑水牛的牧童</e2>
导演	《<e1>浣花洗剑录</e1>》是<e2>李惠民</e2>、王心慰执导、萧笙监制的古装武侠剧，由张国荣、文雪儿等主演
出生日期	<e1>张文庄</e1>（<e2>1920</e2>——1998），寿光市广陵乡张家屯村人，1938年加入中国共产党并参加八路军鲁东抗日游击队第八支队，后进入八路军山东纵队军政干校学习，毕业后留校任中队长
作者	《<e1>期权与期货市场基本原理</e1>》是2008年9月机械工业出版社出版的图书，作者是(加)<e2>约翰·赫尔</e2>(JohnC
主演	《<e1>非常浪漫</e1>》是由阿甘执导的爱情，剧情，喜剧片，佟大为、孙兴、<e2>倪虹洁</e2>参与演出，讲述了某广告公司创意总监晓春才华横溢，但他的精彩的广告创意灵感，都来自他的爱情，这令他烦恼和尴尬，因为他无法制止自己爱上公司老板家辉的女友姗姗
作者	琅琊山因<e2>欧阳修</e2>的千古名篇《<e1>醉翁亭记</e1>》，蜚声中外
主演	《<e1>我和我的十七岁</e1>》是由周晓鹏、林清振执导，<e2>李国毅</e2>、谢欣颖、王家梁、周晓涵主演的爱情喜剧，于2016年4月2日在台视首播
unknow	<e1>柯松青</e1>——我是湛江城月人柯松青，湛江城月人，2003年从<e2>湛江师范</e2>音乐系毕业，主修声乐、舞蹈、钢琴专业
出生日期	个人简介<e1>林耕宇</e1>，<e2>1976年11月2日</e2>出生，台湾高雄市人
主演	《<e1>美人心计</e1>》是由紫骏影视传媒集团、东阳欢娱影视文化有限公司、于正工作室出品的古装剧，改编自小说《未央·沉浮》，原著瞬间倾城，由于正执笔改编，吴锦源等执导，林心如、陈键锋、<e2>杨幂</e2>、王丽坤、何晟铭、罗晋、胡杏儿等领衔主演
出生日期	<e1>库雪明</e1>，男，中华人民共和国公民，出生于<e2>1961年2月5日</e2>
主演	1/12网易娱乐专稿3月2日报道3月1日，由刘俊杰执导的电视剧《<e1>老男孩</e1>》在上海举行开播发布会，主演<e2>刘烨</e2>、林依晨、胡先煦、郭姝彤等亮相现场，分享电视剧拍摄幕后的趣事
主演	《<e1>修仙记之何仙姑传</e1>》是由四川印纪影视传媒有限公司出品，<e2>苗圃</e2>、姜武、李宗翰、黄觉、郑恺、戴军、李成儒、张桐主演的古装神话电视剧
